"","Region","PolicyYear","NumPolicies","NumClaims"
"1","South",2000,36,558
"2","South",2006,41,642
"3","South",2007,42,605
"4","South",2010,44,656
"5","South",2005,40,585
"6","South",2004,39,557
"7","South",2001,37,524
"8","South",2009,43,634
"9","South",2003,38,586
"10","South",2008,43,638
"11","South",2002,38,572
"12","West",2000,4,57
"13","West",2006,4,45
"14","West",2005,4,51
"15","West",2004,4,38
"16","West",2010,5,50
"17","West",2003,4,38
"18","West",2009,5,46
"19","West",2008,5,51
"20","West",2002,4,48
"21","West",2007,4,57
"22","West",2001,4,45
"23","West",2000,22,170
"24","West",2010,26,205
"25","West",2009,26,228
"26","West",2001,22,177
"27","West",2003,23,187
"28","West",2008,25,190
"29","West",2004,24,172
"30","West",2005,24,201
"31","West",2006,24,174
"32","West",2007,25,196
"33","West",2002,23,181
"34","South",2003,22,228
"35","South",2000,21,217
"36","South",2001,21,191
"37","South",2002,22,236
"38","South",2010,25,252
"39","South",2005,23,229
"40","South",2009,25,256
"41","South",2006,24,215
"42","South",2008,24,253
"43","South",2004,23,227
"44","South",2007,24,244
"45","West",2005,224,2297
"46","West",2001,214,2145
"47","West",2003,219,2329
"48","West",2000,212,2105
"49","West",2009,234,2402
"50","West",2006,226,2298
"51","West",2002,217,2259
"52","West",2008,231,2416
"53","West",2004,221,2244
"54","West",2010,237,2433
"55","West",2007,229,2363
"56","West",2001,25,144
"57","West",2000,25,162
"58","West",2005,26,168
"59","West",2010,27,181
"60","West",2003,26,191
"61","West",2007,26,158
"62","West",2004,26,183
"63","West",2009,27,201
"64","West",2006,26,186
"65","West",2002,25,174
"66","West",2008,26,190
"67","Northeast",2000,31,105
"68","Northeast",2005,33,108
"69","Northeast",2010,35,103
"70","Northeast",2002,32,107
"71","Northeast",2008,34,99
"72","Northeast",2004,32,94
"73","Northeast",2009,34,100
"74","Northeast",2006,33,87
"75","Northeast",2003,32,90
"76","Northeast",2007,33,102
"77","Northeast",2001,31,108
"78","South",2005,6,37
"79","South",2000,6,36
"80","South",2003,6,31
"81","South",2004,6,47
"82","South",2009,7,34
"83","South",2006,6,38
"84","South",2002,6,33
"85","South",2008,6,32
"86","South",2010,7,38
"87","South",2001,6,28
"88","South",2007,6,37
"89","South",2008,92,950
"90","South",2007,91,993
"91","South",2001,84,920
"92","South",2003,86,895
"93","South",2006,90,940
"94","South",2005,89,943
"95","South",2000,83,850
"96","South",2009,93,970
"97","South",2002,85,863
"98","South",2004,87,980
"99","South",2010,94,1041
"100","South",2005,54,771
"101","South",2008,57,772
"102","South",2006,55,695
"103","South",2003,52,699
"104","South",2007,56,751
"105","South",2004,53,740
"106","South",2010,60,894
"107","South",2002,51,624
"108","South",2009,59,788
"109","South",2001,50,751
"110","South",2000,49,679
"111","West",2003,10,52
"112","West",2008,10,70
"113","West",2002,9,55
"114","West",2009,11,67
"115","West",2006,10,57
"116","West",2001,9,51
"117","West",2004,10,67
"118","West",2005,10,62
"119","West",2007,10,59
"120","West",2010,11,72
